,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type
190,2016,4.43,15000,171,128
134,2017,0.54,8600,171,77
48,2009,15.04,70000,171,128
171,2011,0.57,35000,171,77
33,2014,9.95,45000,33,128
197,2013,9.4,36198,171,128
35,2011,7.74,49998,1,128
192,2012,9.4,36000,171,128
270,2015,5.9,60000,171,128
29,2015,10.38,45000,33,128
0,2014,5.59,27000,171,128
181,2017,8.1,3435,171,128
120,2014,0.99,25000,171,77
102,2017,0.95,1300,171,77
67,2012,13.74,56000,171,128
88,2014,2.4,7000,171,77
28,2010,3.95,44542,171,128
16,2015,10.79,41678,33,128
185,2016,13.6,22671,171,128
158,2013,0.47,21000,171,77
78,2017,1.78,4000,171,77
117,2016,0.8,20000,171,77
95,2013,1.9,5400,171,77
47,2017,9.29,37000,171,128
226,2014,9.9,48000,33,128
91,2015,1.47,17500,171,77
108,2017,0.95,3500,171,77
40,2008,7.15,58000,171,128
119,2016,0.84,25000,171,77
161,2010,0.52,22000,171,77
69,2014,6.76,40000,171,128
127,2016,0.55,31000,171,77
150,2015,0.72,38600,171,77
66,2015,13.46,38000,33,128
202,2012,6.79,52132,33,128
262,2016,13.6,10980,171,128
268,2015,13.09,60076,33,128
59,2013,18.61,56001,171,128
169,2015,0.32,35000,171,77
167,2013,0.65,24000,171,77
173,2006,0.75,92233,171,77
164,2008,0.75,60000,171,77
232,2014,7.0,36054,171,128
213,2012,9.4,32322,33,128
14,2009,7.21,77427,171,128
177,2015,4.43,28282,171,128
184,2015,14.79,43535,33,128
193,2017,4.43,38488,171,128
152,2011,1.05,30000,171,77
147,2015,0.55,6700,171,77
21,2017,5.71,2400,171,128
89,2016,1.4,35000,171,77
56,2011,13.74,88000,171,128
246,2010,7.5,61203,171,128
55,2010,20.45,59000,33,128
249,2015,13.6,24800,171,128
138,2012,0.99,14500,171,77
84,2016,1.5,18000,171,77
53,2015,7.7,40588,171,128
142,2016,0.55,1000,171,77
114,2016,0.87,15000,171,77
269,2016,11.6,33988,33,128
118,2015,0.84,29000,171,77
163,2013,0.57,18000,171,77
212,2012,4.43,23709,171,128
54,2014,6.95,45000,33,128
230,2015,13.6,40324,171,128
267,2014,6.8,33019,171,128
260,2015,7.5,44000,171,128
154,2014,0.52,19000,171,77
98,2016,1.17,6000,171,77
180,2015,5.7,34797,171,128
130,2014,0.88,8000,171,77
97,2011,1.5,6900,171,77
257,2013,5.9,9800,171,128
82,2014,3.45,16500,171,77
256,2016,11.8,9010,171,128
94,2015,1.47,26000,171,77
140,2016,0.54,14000,171,77
148,2014,0.64,13700,171,77
250,2015,13.6,21780,171,128
207,2015,5.7,4492,171,128
81,2015,2.37,21700,171,77
124,2010,0.94,45000,171,77
187,2017,5.7,20114,171,128
188,2012,9.4,36100,171,128
13,2015,7.71,26000,171,128
253,2015,5.9,14465,171,128
194,2013,6.79,32000,171,128
45,2006,4.15,65000,171,128
168,2008,0.787,50000,171,77
103,2016,0.8,7000,171,77
36,2015,7.2,48767,171,128
231,2015,13.6,25000,171,128
20,2016,3.95,25000,171,128
221,2013,4.6,30000,171,128
170,2010,0.51,33000,171,77
75,2010,20.45,50024,33,128
176,2011,4.6,53460,171,128
248,2016,13.6,30753,171,128
227,2013,9.9,54242,171,128
220,2015,9.4,36000,171,128
2,2017,9.85,6900,171,128
218,2012,9.4,71000,33,128
6,2015,8.12,18796,171,128
242,2015,10.0,18828,171,128
224,2013,9.9,56701,171,128
77,2017,1.82,1400,171,77
113,2013,0.787,16000,171,77
65,2015,7.85,40000,33,128
151,2011,0.787,75000,171,77
160,2008,0.58,1900,171,77
46,2015,7.71,25870,171,128
74,2013,18.61,45000,171,128
92,2013,1.47,33000,171,77
240,2016,9.4,19434,33,128
87,2016,1.5,8700,171,77
143,2014,0.81,42000,171,77
199,2015,5.7,24678,171,128
10,2017,3.6,2135,171,128
162,2013,0.51,32000,171,77
32,2014,7.49,39000,33,128
136,2011,0.95,24000,171,77
166,2007,0.75,49000,171,77
83,2013,1.5,15000,171,77
225,2015,6.82,31427,171,128
165,2012,0.57,25000,171,77
155,2012,0.51,60000,171,77
100,2012,1.75,11500,171,77
125,2016,0.94,24000,171,77
23,2014,3.46,45280,171,128
126,2011,0.826,6000,171,77
195,2014,7.6,77632,33,128
9,2015,8.92,42367,33,128
245,2015,10.0,27600,171,128
104,2017,0.87,3000,171,77
153,2016,0.57,24000,171,77
219,2012,6.79,35000,171,128
135,2017,0.51,4000,171,77
111,2015,0.74,5000,171,77
25,2011,4.99,20000,171,128
223,2016,13.6,35934,33,128
64,2010,22.83,80000,171,128
15,2016,10.79,43000,33,128
210,2015,13.6,68000,33,128
41,2014,8.06,45780,33,128
236,2016,7.7,16002,171,128
109,2016,0.95,500,171,77
80,2017,1.47,4100,171,77
52,2013,18.61,40001,171,128
26,2013,5.87,55138,171,128
76,2016,1.9,3000,171,77
43,2014,12.04,15000,171,128
24,2013,4.41,56879,171,128
196,2015,9.4,61381,33,128
3,2011,4.15,5200,171,128
244,2009,10.0,69562,171,128
49,2015,7.27,40534,171,128
149,2017,0.51,1300,171,77
198,2011,4.6,22517,171,128
131,2017,0.51,4300,171,77
265,2016,8.4,12000,171,128
30,2012,5.98,51439,33,128
200,2011,4.43,57000,171,128
121,2012,0.81,19000,171,77
234,2016,5.97,5600,171,128
175,2015,5.7,28200,171,128
115,2015,0.95,16600,171,77
251,2016,8.4,4000,171,128
216,2016,7.6,7000,171,128
8,2016,8.89,20273,33,128
209,2016,4.43,11849,171,128
60,2011,5.71,43000,171,128
128,2012,0.99,13000,171,77
1,2013,9.54,43000,33,128
57,2014,6.76,71000,33,128
22,2011,8.01,50000,171,128
61,2014,8.93,83000,33,128
63,2013,14.68,72000,171,128
7,2015,8.61,33429,33,128
137,2014,0.826,23000,171,77
233,2016,13.6,29223,171,128
141,2016,0.54,500,171,77
86,2016,1.78,6000,171,77
96,2016,1.26,5700,171,77
222,2016,7.6,17000,171,128
247,2014,6.8,16500,171,128
241,2017,5.8,19000,171,128
215,2014,7.13,34000,171,128
68,2013,6.05,47000,171,128
50,2010,18.54,50000,171,128
156,2016,0.48,50000,171,77
252,2014,13.6,40126,171,128
254,2006,7.6,50456,171,128
178,2016,5.7,3493,171,128
237,2015,7.0,40026,171,128
71,2014,16.09,58242,33,128
129,2013,0.99,45000,171,77
144,2013,0.73,12000,171,77
133,2015,0.84,23000,171,77
203,2013,9.4,45000,33,128
255,2014,14.0,63000,33,128
72,2008,22.78,89000,171,128
235,2015,5.8,40023,171,128
37,2016,3.76,10079,171,128
